date,river_discharge,river_discharge_mean,river_discharge_median,river_discharge_max,river_discharge_min
6/23/2016,1.9512093,,,1.9512093,1.9512093
6/24/2016,1.8575904,,,1.8575904,1.8575904
6/25/2016,1.7669415,,,1.7669415,1.7669415
6/26/2016,1.7989812,,,1.7989812,1.7989812
6/27/2016,1.7669415,,,1.7669415,1.7669415
6/28/2016,1.7478943,,,1.7478943,1.7478943
6/29/2016,1.6546056,,,1.6546056,1.6546056
6/30/2016,1.6121614,,,1.6121614,1.6121614
7/1/2016,1.6121614,,,1.6121614,1.6121614
7/2/2016,1.5468302,,,1.5468302,1.5468302
7/3/2016,1.7039585,,,1.7039585,1.7039585
7/4/2016,1.6242185,,,1.6242185,1.6242185
7/5/2016,1.5468302,,,1.5468302,1.5468302
7/6/2016,1.5292981,,,1.5292981,1.5292981
7/7/2016,1.4831331,,,1.4831331,1.4831331
7/8/2016,1.4210291,,,1.4210291,1.4210291
7/9/2016,1.3604782,,,1.3604782,1.3604782
7/10/2016,1.2961485,,,1.2961485,1.2961485
7/11/2016,1.2490547,,,1.2490547,1.2490547
7/12/2016,1.2646441,,,1.2646441,1.2646441
7/13/2016,1.3768401,,,1.3768401,1.3768401
7/14/2016,1.5003455,,,1.5003455,1.5003455
7/15/2016,1.5176768,,,1.5176768,1.5176768
7/16/2016,1.5292981,,,1.5292981,1.5292981
7/17/2016,1.4660392,,,1.4660392,1.4660392
7/18/2016,1.4043629,,,1.4043629,1.4043629
7/19/2016,1.3442287,,,1.3442287,1.3442287
7/20/2016,1.2961485,,,1.2961485,1.2961485
7/21/2016,1.2335722,,,1.2335722,1.2335722
7/22/2016,1.2181964,,,1.2181964,1.2181964
7/23/2016,1.2029264,,,1.2029264,1.2029264
7/24/2016,1.2490547,,,1.2490547,1.2490547
7/25/2016,1.2181964,,,1.2181964,1.2181964
7/26/2016,1.1877615,,,1.1877615,1.1877615
7/27/2016,1.1727014,,,1.1727014,1.1727014
7/28/2016,1.1877615,,,1.1877615,1.1877615
7/29/2016,1.1428907,,,1.1428907,1.1428907
7/30/2016,1.0941124,,,1.0941124,1.0941124
7/31/2016,1.0941124,,,1.0941124,1.0941124
8/1/2016,1.1577444,,,1.1577444,1.1577444
8/2/2016,1.1232445,,,1.1232445,1.1232445
8/3/2016,1.0796967,,,1.0796967,1.0796967
8/4/2016,1.0464447,,,1.0464447,1.0464447
8/5/2016,1.0606298,,,1.0606298,1.0606298
8/6/2016,1.3442287,,,1.3442287,1.3442287
8/7/2016,1.2961485,,,1.2961485,1.2961485
8/8/2016,1.2335722,,,1.2335722,1.2335722
8/9/2016,1.1877615,,,1.1877615,1.1877615
8/10/2016,1.4547088,,,1.4547088,1.4547088
8/11/2016,1.4831331,,,1.4831331,1.4831331
8/12/2016,1.4378109,,,1.4378109,1.4378109
8/13/2016,1.4210291,,,1.4210291,1.4210291
8/14/2016,1.3604782,,,1.3604782,1.3604782
8/15/2016,1.2961485,,,1.2961485,1.2961485
8/16/2016,1.2803421,,,1.2803421,1.2803421
8/17/2016,1.2181964,,,1.2181964,1.2181964
8/18/2016,1.1877615,,,1.1877615,1.1877615
8/19/2016,1.1577444,,,1.1577444,1.1577444
8/20/2016,1.1086283,,,1.1086283,1.1086283
8/21/2016,1.3768401,,,1.3768401,1.3768401
8/22/2016,1.4831331,,,1.4831331,1.4831331
8/23/2016,1.4210291,,,1.4210291,1.4210291
8/24/2016,1.3604782,,,1.3604782,1.3604782
8/25/2016,1.2961485,,,1.2961485,1.2961485
8/26/2016,1.243882,,,1.243882,1.243882
8/27/2016,1.1877615,,,1.1877615,1.1877615
8/28/2016,1.1428907,,,1.1428907,1.1428907
8/29/2016,1.1037786,,,1.1037786,1.1037786
8/30/2016,1.0941124,,,1.0941124,1.0941124
8/31/2016,1.0701413,,,1.0701413,1.0701413
9/1/2016,1.032357,,,1.032357,1.032357
9/2/2016,1.0230191,,,1.0230191,1.0230191
9/3/2016,0.98609495,,,0.98609495,0.98609495
9/4/2016,0.94536006,,,0.94536006,0.94536006
9/5/2016,0.95884466,,,0.95884466,0.95884466
9/6/2016,0.9906733,,,0.9906733,0.9906733
9/7/2016,0.99986184,,,0.99986184,0.99986184
9/8/2016,0.95884466,,,0.95884466,0.95884466
9/9/2016,0.9275249,,,0.9275249,0.9275249
9/10/2016,0.89234364,,,0.89234364,0.89234364
9/11/2016,0.86637974,,,0.86637974,0.86637974
9/12/2016,0.8450154,,,0.8450154,0.8450154
9/13/2016,0.81970084,,,0.81970084,0.81970084
9/14/2016,0.7906058,,,0.7906058,0.7906058
9/15/2016,0.7579236,,,0.7579236,0.7579236
9/16/2016,0.733804,,,0.733804,0.733804
9/17/2016,0.7906058,,,0.7906058,0.7906058
9/18/2016,0.94536006,,,0.94536006,0.94536006
9/19/2016,0.95884466,,,0.95884466,0.95884466
9/20/2016,1.0230191,,,1.0230191,1.0230191
9/21/2016,0.9906733,,,0.9906733,0.9906733
9/22/2016,0.95884466,,,0.95884466,0.95884466
9/23/2016,0.92309177,,,0.92309177,0.92309177
9/24/2016,0.89234364,,,0.89234364,0.89234364
9/25/2016,0.8535316,,,0.8535316,0.8535316
9/26/2016,0.81970084,,,0.81970084,0.81970084
9/27/2016,0.7988709,,,0.7988709,0.7988709
9/28/2016,0.7660378,,,0.7660378,0.7660378
9/29/2016,0.74180686,,,0.74180686,0.74180686
9/30/2016,0.7179084,,,0.7179084,0.7179084
10/1/2016,0.7021586,,,0.7021586,0.7021586
10/2/2016,0.69433784,,,0.69433784,0.69433784
10/3/2016,0.7741895,,,0.7741895,0.7741895
10/4/2016,0.7579236,,,0.7579236,0.7579236
10/5/2016,0.74180686,,,0.74180686,0.74180686
10/6/2016,0.7179084,,,0.7179084,0.7179084
10/7/2016,0.69433784,,,0.69433784,0.69433784
10/8/2016,0.67880404,,,0.67880404,0.67880404
10/9/2016,0.65576994,,,0.65576994,0.65576994
10/10/2016,0.633052,,,0.633052,0.633052
10/11/2016,0.61808,,,0.61808,0.61808
10/12/2016,0.6032454,,,0.6032454,0.6032454
10/13/2016,0.5776112,,,0.5776112,0.5776112
10/14/2016,0.5703628,,,0.5703628,0.5703628
10/15/2016,0.6255487,,,0.6255487,0.6255487
10/16/2016,0.686553,,,0.686553,0.686553
10/17/2016,0.67880404,,,0.67880404,0.67880404
10/18/2016,0.69433784,,,0.69433784,0.69433784
10/19/2016,0.7021586,,,0.7021586,0.7021586
10/20/2016,0.7100153,,,0.7100153,0.7100153
10/21/2016,0.686553,,,0.686553,0.686553
10/22/2016,0.6634127,,,0.6634127,0.6634127
10/23/2016,0.64058983,,,0.64058983,0.64058983
10/24/2016,0.633052,,,0.633052,0.633052
10/25/2016,0.6710906,,,0.6710906,0.6710906
10/26/2016,0.7660378,,,0.7660378,0.7660378
10/27/2016,0.7823787,,,0.7823787,0.7823787
10/28/2016,0.7579236,,,0.7579236,0.7579236
10/29/2016,0.72583795,,,0.72583795,0.72583795
10/30/2016,0.7021586,,,0.7021586,0.7021586
10/31/2016,0.67880404,,,0.67880404,0.67880404
11/1/2016,0.65576994,,,0.65576994,0.65576994
11/2/2016,0.64058983,,,0.64058983,0.64058983
11/3/2016,0.633052,,,0.633052,0.633052
11/4/2016,0.61064565,,,0.61064565,0.61064565
11/5/2016,0.59220874,,,0.59220874,0.59220874
11/6/2016,0.5848932,,,0.5848932,0.5848932
11/7/2016,0.5703628,,,0.5703628,0.5703628
11/8/2016,0.55596566,,,0.55596566,0.55596566
11/9/2016,0.5381547,,,0.5381547,0.5381547
11/10/2016,0.52405274,,,0.52405274,0.52405274
11/11/2016,0.50660706,,,0.50660706,0.50660706
11/12/2016,0.4927944,,,0.4927944,0.4927944
11/13/2016,0.4859357,,,0.4859357,0.4859357
11/14/2016,0.4689263,,,0.4689263,0.4689263
11/15/2016,0.46217716,,,0.46217716,0.46217716
11/16/2016,0.4521116,,,0.4521116,0.4521116
11/17/2016,0.46217716,,,0.46217716,0.46217716
11/18/2016,0.44543982,,,0.44543982,0.44543982
11/19/2016,0.43879855,,,0.43879855,0.43879855
11/20/2016,0.43879855,,,0.43879855,0.43879855
